family_id,wave,type,member,score
12,w2,satis,child,7.918181637
13,w1,comm,parent,4.399818496
13,w1,comm,child,5.055291421
13,w2,comm,parent,5.227554958
13,w2,comm,child,5.727554958
13,w1,satis,parent,7.151988711
13,w1,satis,child,7.807461636
13,w2,satis,parent,7.979725173
13,w2,satis,child,8.479725173
14,w1,comm,parent,6.031627747
14,w1,comm,child,7.227175743
14,w2,comm,parent,7.129401745
14,w2,comm,child,7.629401745
14,w1,satis,parent,8.294109274
14,w1,satis,child,9.489657271
14,w2,satis,parent,9.391883272
14,w2,satis,child,9.891883272
15,w1,comm,parent,5.255133563
15,w1,comm,child,4.884723951
15,w2,comm,parent,5.569928757
15,w2,comm,child,6.069928757
15,w1,satis,parent,7.48940102
15,w1,satis,child,7.118991408
15,w2,satis,parent,7.804196214
15,w2,satis,child,8.304196214
16,w1,comm,parent,3.328029003
16,w1,comm,child,3.391081058
16,w2,comm,parent,3.859555031
16,w2,comm,child,4.359555031
16,w1,satis,parent,5.446365835
16,w1,satis,child,5.50941789
16,w2,satis,parent,5.977891862
16,w2,satis,child,6.477891862
17,w1,comm,parent,4.620246398
17,w1,comm,child,2.450811115
17,w2,comm,parent,4.035528756
17,w2,comm,child,4.535528756
17,w1,satis,parent,6.865253225
17,w1,satis,child,4.695817942
17,w2,satis,parent,6.280535583
17,w2,satis,child,6.780535583
18,w1,comm,parent,3.638217465
18,w1,comm,child,3.722750689
18,w2,comm,parent,4.180484077
18,w2,comm,child,4.680484077
18,w1,satis,parent,6.247622695
18,w1,satis,child,6.332155919
18,w2,satis,parent,6.789889307
18,w2,satis,child,7.289889307
19,w1,comm,parent,3.962068778
19,w1,comm,child,2.321105644
19,w2,comm,parent,3.641587211
19,w2,comm,child,4.141587211
19,w1,satis,parent,7.080373575
19,w1,satis,child,5.439410441
19,w2,satis,parent,6.759892008
19,w2,satis,child,7.259892008
20,w1,comm,parent,5.44204245
20,w1,comm,child,5.675873608
20,w2,comm,parent,6.058958029
20,w2,comm,child,6.558958029
20,w1,satis,parent,7.236731224
20,w1,satis,child,7.470562382
20,w2,satis,parent,7.853646803
20,w2,satis,child,8.353646803
21,w1,comm,parent,3.219536435
21,w1,comm,child,2.582900362
21,w2,comm,parent,3.401218399
21,w2,comm,child,3.901218399
21,w1,satis,parent,5.247536881
21,w1,satis,child,4.610900808
21,w2,satis,parent,5.429218844
21,w2,satis,child,5.929218844
22,w1,comm,parent,5.37051211
22,w1,comm,child,5.76408197
22,w2,comm,parent,6.06729704
22,w2,comm,child,6.56729704
22,w1,satis,parent,8.262507309
22,w1,satis,child,8.656077169
22,w2,satis,parent,8.959292239
22,w2,satis,child,9.459292239
23,w1,comm,parent,5.539039931
23,w1,comm,child,6.909968668
23,w2,comm,parent,6.7245043
23,w2,comm,child,7.2245043
23,w1,satis,parent,7.709663215
23,w1,satis,child,9.080591952
23,w2,satis,parent,8.895127584
23,w2,satis,child,9.395127584
24,w1,comm,parent,4.665030077
24,w1,comm,child,4.663591037
24,w2,comm,parent,5.164310557
24,w2,comm,child,5.664310557
24,w1,satis,parent,6.26449594
24,w1,satis,child,6.2630569
24,w2,satis,parent,6.76377642
24,w2,satis,child,7.26377642
25,w1,comm,parent,3.591155897
25,w1,comm,child,1.681366972
25,w2,comm,parent,3.136261434
25,w2,comm,child,3.636261434
25,w1,satis,parent,5.451368507
25,w1,satis,child,3.541579581
25,w2,satis,parent,4.996474044
25,w2,satis,child,5.496474044
26,w1,comm,parent,6.027628859
26,w1,comm,child,4.838330655
26,w2,comm,parent,5.932979757
26,w2,comm,child,6.432979757
26,w1,satis,parent,8.308630404
26,w1,satis,child,7.1193322
26,w2,satis,parent,8.213981302
26,w2,satis,child,8.713981302
27,w1,comm,parent,3.830877624
27,w1,comm,child,5.337310501
27,w2,comm,parent,5.084094063
27,w2,comm,child,5.584094063
27,w1,satis,parent,6.132189874
27,w1,satis,child,7.63862275
27,w2,satis,parent,7.385406312
27,w2,satis,child,7.885406312
28,w1,comm,parent,4.975427091
28,w1,comm,child,4.728187955
28,w2,comm,parent,5.351807523
28,w2,comm,child,5.851807523
28,w1,satis,parent,6.100433038
28,w1,satis,child,5.853193901
28,w2,satis,parent,6.47681347
28,w2,satis,child,6.97681347
29,w1,comm,parent,5.023556416
29,w1,comm,child,5.29610653
29,w2,comm,parent,5.659831473
29,w2,comm,child,6.159831473
29,w1,satis,parent,7.621031144
29,w1,satis,child,7.893581257
29,w2,satis,parent,8.2573062
29,w2,satis,child,8.7573062
30,w1,comm,parent,3.895172288
30,w1,comm,child,4.242554589
30,w2,comm,parent,4.568863438
30,w2,comm,child,5.068863438
30,w1,satis,parent,5.989849115
30,w1,satis,child,6.337231416
30,w2,satis,parent,6.663540266
30,w2,satis,child,7.163540266
31,w1,comm,parent,3.998220511
31,w1,comm,child,1.51780955
31,w2,comm,parent,3.258015031
31,w2,comm,child,3.758015031
31,w1,satis,parent,6.196058784
31,w1,satis,child,3.715647823
31,w2,satis,parent,5.455853303
31,w2,satis,child,5.955853303
32,w1,comm,parent,3.90398871
32,w1,comm,child,5.286319238
32,w2,comm,parent,5.095153974
32,w2,comm,child,5.595153974
32,w1,satis,parent,6.44644036
32,w1,satis,child,7.828770888
32,w2,satis,parent,7.637605624
32,w2,satis,child,8.137605624
33,w1,comm,parent,5.624264075
33,w1,comm,child,5.757471501
33,w2,comm,parent,6.190867788
33,w2,comm,child,6.690867788
33,w1,satis,parent,6.156226114
33,w1,satis,child,6.28943354
33,w2,satis,parent,6.722829827
33,w2,satis,child,7.222829827
34,w1,comm,parent,5.154876093
34,w1,comm,child,5.81414376
34,w2,comm,parent,5.984509926
34,w2,comm,child,6.484509926
34,w1,satis,parent,7.685788574
34,w1,satis,child,8.345056241
34,w2,satis,parent,8.515422407
34,w2,satis,child,9.015422407
35,w1,comm,parent,3.999029442
35,w1,comm,child,3.144693652
35,w2,comm,parent,4.071861547
35,w2,comm,child,4.571861547
35,w1,satis,parent,5.729495319
35,w1,satis,child,4.875159529
35,w2,satis,parent,5.802327424
35,w2,satis,child,6.302327424
36,w1,comm,parent,3.756166203
36,w1,comm,child,4.386488451
36,w2,comm,parent,4.571327327
36,w2,comm,child,5.071327327
36,w1,satis,parent,5.937724951
36,w1,satis,child,6.568047198
36,w2,satis,parent,6.752886074
36,w2,satis,child,7.252886074
37,w1,comm,parent,4.305055166
37,w1,comm,child,6.199386708
37,w2,comm,parent,5.752220937
37,w2,comm,child,6.252220937
37,w1,satis,parent,6.257819282
37,w1,satis,child,8.152150825
37,w2,satis,parent,7.704985054
37,w2,satis,child,8.204985054
38,w1,comm,parent,3.678970664
38,w1,comm,child,4.070852503
38,w2,comm,parent,4.374911584
38,w2,comm,child,4.874911584
38,w1,satis,parent,6.162999529
38,w1,satis,child,6.554881369
38,w2,satis,parent,6.858940449
38,w2,satis,child,7.358940449
39,w1,comm,parent,5.391272797
39,w1,comm,child,5.828653921
39,w2,comm,parent,6.109963359
39,w2,comm,child,6.609963359
39,w1,satis,parent,6.435109679
39,w1,satis,child,6.872490803
39,w2,satis,parent,7.153800241
39,w2,satis,child,7.653800241
40,w1,comm,parent,4.463304528
40,w1,comm,child,3.033963243
40,w2,comm,parent,4.248633885
40,w2,comm,child,4.748633885
40,w1,satis,parent,5.792136822
40,w1,satis,child,4.362795537
40,w2,satis,parent,5.577466179
40,w2,satis,child,6.077466179
41,w1,comm,parent,5.426639356
41,w1,comm,child,4.363897063
41,w2,comm,parent,5.395268209
41,w2,comm,child,5.895268209
41,w1,satis,parent,8.093207955
41,w1,satis,child,7.030465662
41,w2,satis,parent,8.061836808
41,w2,satis,child,8.561836808
42,w1,comm,parent,3.715667097
42,w1,comm,child,3.307901479
42,w2,comm,parent,4.011784288
42,w2,comm,child,4.511784288
42,w1,satis,parent,5.834919562
42,w1,satis,child,5.427153943
42,w2,satis,parent,6.131036752
42,w2,satis,child,6.631036752
43,w1,comm,parent,5.698262298
43,w1,comm,child,4.605872284
43,w2,comm,parent,5.652067291
43,w2,comm,child,6.152067291
43,w1,satis,parent,8.109184954
43,w1,satis,child,7.01679494
43,w2,satis,parent,8.062989947
43,w2,satis,child,8.562989947
44,w1,comm,parent,4.816014062
44,w1,comm,child,5.511733571
44,w2,comm,parent,5.663873816
44,w2,comm,child,6.163873816
44,w1,satis,parent,6.247302648
44,w1,satis,child,6.943022157
44,w2,satis,parent,7.095162403
44,w2,satis,child,7.595162403
45,w1,comm,parent,6.937655352
45,w1,comm,child,7.814421625
45,w2,comm,parent,7.876038489
45,w2,comm,child,8.376038489
45,w1,satis,parent,9.47728147
45,w1,satis,child,10.35404774
45,w2,satis,parent,10.41566461
45,w2,satis,child,10.91566461
46,w1,comm,parent,5.815385397
46,w1,comm,child,6.195244089
46,w2,comm,parent,6.505314743
46,w2,comm,child,7.005314743
46,w1,satis,parent,7.742741055
46,w1,satis,child,8.122599747
46,w2,satis,parent,8.432670401
46,w2,satis,child,8.932670401
47,w1,comm,parent,2.759836657
47,w1,comm,child,3.865011904
47,w2,comm,parent,3.81242428
47,w2,comm,child,4.31242428
47,w1,satis,parent,4.935792794
47,w1,satis,child,6.040968042
47,w2,satis,parent,5.988380418
47,w2,satis,child,6.488380418
48,w1,comm,parent,5.182296982
48,w1,comm,child,5.763471395
48,w2,comm,parent,5.972884188
48,w2,comm,child,6.472884188
48,w1,satis,parent,7.502327813
48,w1,satis,child,8.083502226
48,w2,satis,parent,8.292915019
48,w2,satis,child,8.792915019
49,w1,comm,parent,3.305984577
49,w1,comm,child,3.402544
49,w2,comm,parent,3.854264288
49,w2,comm,child,4.354264288
49,w1,satis,parent,5.541947635
49,w1,satis,child,5.638507059
49,w2,satis,parent,6.090227347
49,w2,satis,child,6.590227347
50,w1,comm,parent,6.982215485
50,w1,comm,child,7.204524963
50,w2,comm,parent,7.593370224
50,w2,comm,child,8.093370224
50,w1,satis,parent,8.715253665
50,w1,satis,child,8.937563142
50,w2,satis,parent,9.326408403
50,w2,satis,child,9.826408403
51,w1,comm,parent,4.620204593
51,w1,comm,child,3.390544672
51,w2,comm,parent,4.505374633
51,w2,comm,child,5.005374633
51,w1,satis,parent,6.614089712
51,w1,satis,child,5.384429791
51,w2,satis,parent,6.499259751
51,w2,satis,child,6.999259751
52,w1,comm,parent,4.545974687
52,w1,comm,child,3.961252308
52,w2,comm,parent,4.753613498
52,w2,comm,child,5.253613498
52,w1,satis,parent,5.891737363
52,w1,satis,child,5.307014984
52,w2,satis,parent,6.099376173
52,w2,satis,child,6.599376173
53,w1,comm,parent,4.975180396
53,w1,comm,child,5.58166106
53,w2,comm,parent,5.778420728
53,w2,comm,child,6.278420728
53,w1,satis,parent,6.437063999
53,w1,satis,child,7.043544664
53,w2,satis,parent,7.240304331
53,w2,satis,child,7.740304331
54,w1,comm,parent,6.851479218
54,w1,comm,child,4.853262256
54,w2,comm,parent,6.352370737
54,w2,comm,child,6.852370737
54,w1,satis,parent,7.902649691
54,w1,satis,child,5.904432729
54,w2,satis,parent,7.40354121
54,w2,satis,child,7.90354121
55,w1,comm,parent,4.863393842
55,w1,comm,child,1.705095229
55,w2,comm,parent,3.784244536
55,w2,comm,child,4.284244536
55,w1,satis,parent,6.723575656
55,w1,satis,child,3.565277043
55,w2,satis,parent,5.64442635
55,w2,satis,child,6.14442635
56,w1,comm,parent,3.904538503
56,w1,comm,child,3.939961289
56,w2,comm,parent,4.422249896
56,w2,comm,child,4.922249896
56,w1,satis,parent,5.407742224
56,w1,satis,child,5.44316501
56,w2,satis,parent,5.925453617
56,w2,satis,child,6.425453617
57,w1,comm,parent,4.497977004
57,w1,comm,child,4.531177113
57,w2,comm,parent,5.014577059
57,w2,comm,child,5.514577059
57,w1,satis,parent,6.57908903
57,w1,satis,child,6.612289139
57,w2,satis,parent,7.095689084
57,w2,satis,child,7.595689084
58,w1,comm,parent,5.766587584
58,w1,comm,child,6.345416199
58,w2,comm,parent,6.556001892
58,w2,comm,child,7.056001892
58,w1,satis,parent,8.498580419
58,w1,satis,child,9.077409034
58,w2,satis,parent,9.287994727
58,w2,satis,child,9.787994727
59,w1,comm,parent,4.952556957
59,w1,comm,child,5.075523395
59,w2,comm,parent,5.514040176
59,w2,comm,child,6.014040176
59,w1,satis,parent,6.665819413
59,w1,satis,child,6.78878585
59,w2,satis,parent,7.227302632
59,w2,satis,child,7.727302632
60,w1,comm,parent,4.537147359
60,w1,comm,child,3.853007248
60,w2,comm,parent,4.695077303
60,w2,comm,child,5.195077303
60,w1,satis,parent,6.067254458
60,w1,satis,child,5.383114347
60,w2,satis,parent,6.225184403
60,w2,satis,child,6.725184403
61,w1,comm,parent,5.806668547
61,w1,comm,child,4.936400467
61,w2,comm,parent,5.871534507
61,w2,comm,child,6.371534507
61,w1,satis,parent,7.630459798
61,w1,satis,child,6.760191718
61,w2,satis,parent,7.695325758
61,w2,satis,child,8.195325758
62,w1,comm,parent,5.121325882
62,w1,comm,child,6.802184519
62,w2,comm,parent,6.461755201
62,w2,comm,child,6.961755201
62,w1,satis,parent,6.997921663
62,w1,satis,child,8.6787803
62,w2,satis,parent,8.338350982
62,w2,satis,child,8.838350982
63,w1,comm,parent,5.017250668
63,w1,comm,child,5.439443634
63,w2,comm,parent,5.728347151
63,w2,comm,child,6.228347151
63,w1,satis,parent,7.566943597
63,w1,satis,child,7.989136564
63,w2,satis,parent,8.278040081
63,w2,satis,child,8.778040081
64,w1,comm,parent,5.702925847
64,w1,comm,child,5.558063166
64,w2,comm,parent,6.130494506
64,w2,comm,child,6.630494506
64,w1,satis,parent,8.192335295
64,w1,satis,child,8.047472613
64,w2,satis,parent,8.619903954
64,w2,satis,child,9.119903954
65,w1,comm,parent,5.37477642
65,w1,comm,child,5.798805677
65,w2,comm,parent,6.086791049
65,w2,comm,child,6.586791049
65,w1,satis,parent,7.456147424
65,w1,satis,child,7.880176681
65,w2,satis,parent,8.168162053
65,w2,satis,child,8.668162053
66,w1,comm,parent,4.611369608
66,w1,comm,child,5.263959217
66,w2,comm,parent,5.437664413
66,w2,comm,child,5.937664413
66,w1,satis,parent,6.594126614
66,w1,satis,child,7.246716223
66,w2,satis,parent,7.420421418
66,w2,satis,child,7.920421418
67,w1,comm,parent,4.587684103
67,w1,comm,child,4.127355058
67,w2,comm,parent,4.857519581
67,w2,comm,child,5.357519581
67,w1,satis,parent,6.540239775
67,w1,satis,child,6.079910729
67,w2,satis,parent,6.810075252
67,w2,satis,child,7.310075252
68,w1,comm,parent,3.593947223
68,w1,comm,child,2.82171322
68,w2,comm,parent,3.707830222
68,w2,comm,child,4.207830222
68,w1,satis,parent,6.504036461
68,w1,satis,child,5.731802458
68,w2,satis,parent,6.617919459
68,w2,satis,child,7.117919459
69,w1,comm,parent,4.173492089
69,w1,comm,child,4.346127303
69,w2,comm,parent,4.759809696
69,w2,comm,child,5.259809696
69,w1,satis,parent,6.709724967
69,w1,satis,child,6.882360181
69,w2,satis,parent,7.296042574
69,w2,satis,child,7.796042574
70,w1,comm,parent,4.797605277
70,w1,comm,child,3.570408621
70,w2,comm,parent,4.684006949
70,w2,comm,child,5.184006949
70,w1,satis,parent,6.923575971
70,w1,satis,child,5.696379314
70,w2,satis,parent,6.809977642
70,w2,satis,child,7.309977642
71,w1,comm,parent,5.218034935
71,w1,comm,child,4.346387855
71,w2,comm,parent,5.282211395
71,w2,comm,child,5.782211395
71,w1,satis,parent,7.292651656
71,w1,satis,child,6.421004576
71,w2,satis,parent,7.356828116
71,w2,satis,child,7.856828116
72,w1,comm,parent,4.160588563
72,w1,comm,child,3.817594056
72,w2,comm,parent,4.489091309
72,w2,comm,child,4.989091309
72,w1,satis,parent,7.213975291
72,w1,satis,child,6.870980785
72,w2,satis,parent,7.542478038
72,w2,satis,child,8.042478038
73,w1,comm,parent,4.790181156
73,w1,comm,child,5.036888968
73,w2,comm,parent,5.413535062
73,w2,comm,child,5.913535062
73,w1,satis,parent,7.256371308
73,w1,satis,child,7.50307912
73,w2,satis,parent,7.879725214
73,w2,satis,child,8.379725214
74,w1,comm,parent,3.677077945
74,w1,comm,child,3.633675698
74,w2,comm,parent,4.155376821
74,w2,comm,child,4.655376821
74,w1,satis,parent,6.100953791
74,w1,satis,child,6.057551544
74,w2,satis,parent,6.579252668
74,w2,satis,child,7.079252668
75,w1,comm,parent,5.68975574
75,w1,comm,child,5.052564303
75,w2,comm,parent,5.871160022
75,w2,comm,child,6.371160022
75,w1,satis,parent,6.969065836
75,w1,satis,child,6.331874399
75,w2,satis,parent,7.150470118
75,w2,satis,child,7.650470118
76,w1,comm,parent,6.794584521
76,w1,comm,child,7.297803251
76,w2,comm,parent,7.546193886
76,w2,comm,child,8.046193886
76,w1,satis,parent,8.501385182
76,w1,satis,child,9.004603912
76,w2,satis,parent,9.252994547
76,w2,satis,child,9.752994547
77,w1,comm,parent,5.31956728
77,w1,comm,child,3.89577821
77,w2,comm,parent,5.107672745
77,w2,comm,child,5.607672745
77,w1,satis,parent,7.32956007
77,w1,satis,child,5.905771
77,w2,satis,parent,7.117665535
77,w2,satis,child,7.617665535
78,w1,comm,parent,6.803793955
78,w1,comm,child,7.271915068
78,w2,comm,parent,7.537854512
78,w2,comm,child,8.037854512
78,w1,satis,parent,8.149143246
78,w1,satis,child,8.617264359
78,w2,satis,parent,8.883203803
78,w2,satis,child,9.383203803
79,w1,comm,parent,3.675136423
79,w1,comm,child,3.004580789
79,w2,comm,parent,3.839858606
79,w2,comm,child,4.339858606
79,w1,satis,parent,6.442247172
79,w1,satis,child,5.771691538
79,w2,satis,parent,6.606969355
79,w2,satis,child,7.106969355
80,w1,comm,parent,4.377786975
80,w1,comm,child,7.053303971
80,w2,comm,parent,6.215545473
80,w2,comm,child,6.715545473
80,w1,satis,parent,5.467100545
80,w1,satis,child,8.142617541
80,w2,satis,parent,7.304859043
80,w2,satis,child,7.804859043
81,w1,comm,parent,4.617281748
81,w1,comm,child,3.814423536
81,w2,comm,parent,4.715852642
81,w2,comm,child,5.215852642
81,w1,satis,parent,6.527512764
81,w1,satis,child,5.724654552
81,w2,satis,parent,6.626083658
81,w2,satis,child,7.126083658
82,w1,comm,parent,7.484913336
82,w1,comm,child,7.238515357
82,w2,comm,parent,7.861714346
82,w2,comm,child,8.361714346
82,w1,satis,parent,9.597865083
82,w1,satis,child,9.351467105
82,w2,satis,parent,9.974666094
82,w2,satis,child,10.47466609
83,w1,comm,parent,5.202328315
83,w1,comm,child,5.175665117
83,w2,comm,parent,5.688996716
83,w2,comm,child,6.188996716
83,w1,satis,parent,7.091992942
83,w1,satis,child,7.065329744
83,w2,satis,parent,7.578661343
83,w2,satis,child,8.078661343
84,w1,comm,parent,6.20479349
84,w1,comm,child,6.037111891
84,w2,comm,parent,6.62095269
84,w2,comm,child,7.12095269
84,w1,satis,parent,8.211118116
84,w1,satis,child,8.043436517
84,w2,satis,parent,8.627277317
84,w2,satis,child,9.127277317
85,w1,comm,parent,5.143611138
85,w1,comm,child,5.585250181
85,w2,comm,parent,5.864430659
85,w2,comm,child,6.364430659
85,w1,satis,parent,6.875484381
85,w1,satis,child,7.317123424
85,w2,satis,parent,7.596303903
85,w2,satis,child,8.096303903
86,w1,comm,parent,5.88408318
86,w1,comm,child,6.126893908
86,w2,comm,parent,6.505488544
86,w2,comm,child,7.005488544
86,w1,satis,parent,6.924301856
86,w1,satis,child,7.167112583
86,w2,satis,parent,7.545707219
86,w2,satis,child,8.045707219
87,w1,comm,parent,4.972809683
87,w1,comm,child,5.63156297
87,w2,comm,parent,5.802186326
87,w2,comm,child,6.302186326
87,w1,satis,parent,6.87616734
87,w1,satis,child,7.534920626
87,w2,satis,parent,7.705543983
87,w2,satis,child,8.205543983
88,w1,comm,parent,4.988843171
88,w1,comm,child,4.232580704
88,w2,comm,parent,5.110711938
88,w2,comm,child,5.610711938
88,w1,satis,parent,7.144529565
88,w1,satis,child,6.388267097
88,w2,satis,parent,7.266398331
88,w2,satis,child,7.766398331
89,w1,comm,parent,4.482945357
89,w1,comm,child,4.480086669
89,w2,comm,parent,4.981516013
89,w2,comm,child,5.481516013
89,w1,satis,parent,6.018751742
89,w1,satis,child,6.015893053
89,w2,satis,parent,6.517322398
89,w2,satis,child,7.017322398
90,w1,comm,parent,5.284143088
90,w1,comm,child,4.6120751
90,w2,comm,parent,5.448109094
90,w2,comm,child,5.948109094
90,w1,satis,parent,7.400413554
90,w1,satis,child,6.728345567
90,w2,satis,parent,7.56437956
90,w2,satis,child,8.06437956
91,w1,comm,parent,6.340701049
91,w1,comm,child,6.24141427
91,w2,comm,parent,6.79105766
91,w2,comm,child,7.29105766
91,w1,satis,parent,8.516252621
91,w1,satis,child,8.416965842
91,w2,satis,parent,8.966609232
91,w2,satis,child,9.466609232
92,w1,comm,parent,5.252723722
92,w1,comm,child,3.161054159
92,w2,comm,parent,4.70688894
92,w2,comm,child,5.20688894
92,w1,satis,parent,8.104890192
92,w1,satis,child,6.013220629
92,w2,satis,parent,7.55905541
92,w2,satis,child,8.05905541
93,w1,comm,parent,6.602783631
93,w1,comm,child,6.36046574
93,w2,comm,parent,6.981624686
93,w2,comm,child,7.481624686
93,w1,satis,parent,8.349072496
93,w1,satis,child,8.106754606
93,w2,satis,parent,8.727913551
93,w2,satis,child,9.227913551
94,w1,comm,parent,4.035466036
94,w1,comm,child,5.622885607
94,w2,comm,parent,5.329175822
94,w2,comm,child,5.829175822
94,w1,satis,parent,6.836873962
94,w1,satis,child,8.424293534
94,w2,satis,parent,8.130583748
94,w2,satis,child,8.630583748
95,w1,comm,parent,6.12085608
95,w1,comm,child,7.084045557
95,w2,comm,parent,7.102450819
95,w2,comm,child,7.602450819
95,w1,satis,parent,7.845170549
95,w1,satis,child,8.808360026
95,w2,satis,parent,8.826765287
95,w2,satis,child,9.326765287
96,w1,comm,parent,5.105749089
96,w1,comm,child,5.085769689
96,w2,comm,parent,5.595759389
96,w2,comm,child,6.095759389
96,w1,satis,parent,7.546887093
96,w1,satis,child,7.526907692
96,w2,satis,parent,8.036897393
96,w2,satis,child,8.536897393
97,w1,comm,parent,3.742991552
97,w1,comm,child,3.913150705
97,w2,comm,parent,4.328071128
97,w2,comm,child,4.828071128
97,w1,satis,parent,5.871030796
97,w1,satis,child,6.041189949
97,w2,satis,parent,6.456110373
97,w2,satis,child,6.956110373
98,w1,comm,parent,4.915936626
98,w1,comm,child,5.142744673
98,w2,comm,parent,5.52934065
98,w2,comm,child,6.02934065
98,w1,satis,parent,6.608853146
98,w1,satis,child,6.835661193
98,w2,satis,parent,7.22225717
98,w2,satis,child,7.72225717
99,w1,comm,parent,5.348072437
99,w1,comm,child,7.401775081
99,w2,comm,parent,6.874923759
99,w2,comm,child,7.374923759
99,w1,satis,parent,8.027436373
99,w1,satis,child,10.08113902
99,w2,satis,parent,9.554287694
99,w2,satis,child,10.05428769
100,w1,comm,parent,6.324935945
100,w1,comm,child,5.753299508
100,w2,comm,parent,6.539117727
100,w2,comm,child,7.039117727
100,w1,satis,parent,8.664217959
100,w1,satis,child,8.092581522
100,w2,satis,parent,8.87839974
100,w2,satis,child,9.37839974
101,w1,comm,parent,4.076846258
101,w1,comm,child,3.679305508
101,w2,comm,parent,4.378075883
101,w2,comm,child,4.878075883
101,w1,satis,parent,6.444371458
101,w1,satis,child,6.046830708
101,w2,satis,parent,6.745601083
101,w2,satis,child,7.245601083
102,w1,comm,parent,5.485372819
102,w1,comm,child,5.393836789
102,w2,comm,parent,5.939604804
102,w2,comm,child,6.439604804
102,w1,satis,parent,6.994337338
102,w1,satis,child,6.902801309
102,w2,satis,parent,7.448569324
102,w2,satis,child,7.948569324
103,w1,comm,parent,4.549215231
103,w1,comm,child,4.276906758
103,w2,comm,parent,4.913060994
103,w2,comm,child,5.413060994
103,w1,satis,parent,6.209171782
103,w1,satis,child,5.93686331
103,w2,satis,parent,6.573017546
103,w2,satis,child,7.073017546
104,w1,comm,parent,5.652896447
104,w1,comm,child,6.09519173
104,w2,comm,parent,6.374044088
104,w2,comm,child,6.874044088
104,w1,satis,parent,7.525935946
104,w1,satis,child,7.968231228
104,w2,satis,parent,8.247083587
104,w2,satis,child,8.747083587
105,w1,comm,parent,5.909081812
105,w1,comm,child,4.00680525
105,w2,comm,parent,5.457943531
105,w2,comm,child,5.957943531
105,w1,satis,parent,7.61415517
105,w1,satis,child,5.711878608
105,w2,satis,parent,7.163016889
105,w2,satis,child,7.663016889
106,w1,comm,parent,5.875487461
106,w1,comm,child,5.705718666
106,w2,comm,parent,6.290603064
106,w2,comm,child,6.790603064
106,w1,satis,parent,7.562672886
106,w1,satis,child,7.392904091
106,w2,satis,parent,7.977788488
